,Allianz Global Investors Fund - Allianz Global Artificial Intelligence AT USD,CS Investment Funds 2 - Credit Suisse (Lux) Digital Health Equity Fund IB USD,Allianz Global Investors Fund - Allianz China A Shares PT USD,Nikko AM ARK Disruptive Innovation Fund A USD Acc,Brookfield Global Renewables and Sustainable Infrastructure UCITS Fund USD Institutional Acc Cls E,Baillie Gifford Positive Change Fund B Accumulation,BlackRock Global Funds - Sustainable Energy Fund I2,UBS (Lux) Equity Fund - China Opprtunity (USD) I-A1-acc
2015-10-09,,,,,,,7.96,112.93
2015-10-12,,,,,,,7.85,114.26
2015-10-13,,,,,,,7.77,113.98
2015-10-14,,,,,,,7.8,113.13
2015-10-15,,,,,,,7.82,114.59
2015-10-16,,,,,,,7.8,116.07
2015-10-19,,,,,,,7.77,116.5
2015-10-20,,,,,,,7.78,116.91
2015-10-21,,,,,,,7.83,
2015-10-22,,,,,,,7.82,115.88
2015-10-23,,,,,,,7.89,116.77
2015-10-26,,,,,,,7.9,117.28
2015-10-27,,,,,,,7.81,117.3
2015-10-28,,,,,,,7.9,116.33
2015-10-29,,,,,,,7.85,116.5
2015-10-30,,,,,,,7.91,115.83
2015-11-02,,,,,,,7.97,115.81
2015-11-03,,,,,,,7.96,116.38
2015-11-04,,,,,,,7.97,118.45
2015-11-05,,,,,,,8.03,118.77
2015-11-06,,,,,,,7.95,119.19
2015-11-09,,,,,,,7.96,119.12
2015-11-10,,,,,,,7.87,117.88
2015-11-11,,,,,,,7.9,117.5
2015-11-12,,,,,,,7.83,119.55
2015-11-13,,,,,,,7.7,118.41
2015-11-16,,,,,,,7.73,116.62
2015-11-17,,,,,,,7.82,117.49
2015-11-18,,,,,,,7.77,117.5
2015-11-19,,,,,,,7.9,118.51
2015-11-20,,,,,,,7.92,119.85
2015-11-23,,,,,,,7.88,120.02
2015-11-24,,,,,,,7.84,120.26
2015-11-25,,,,,,,7.92,120.28
2015-11-26,,,,,,,7.96,120.36
2015-11-27,,,,,,,7.96,118.4
2015-11-30,,,,,,,8.01,118.18
2015-12-01,,,,,,,8.01,119.81
2015-12-02,,,,,,,7.99,120.54
2015-12-03,,,,,,,8.01,120.99
2015-12-04,,,,,,,7.97,120.21
2015-12-07,,,,,,,7.96,120.39
2015-12-08,,,,,,,7.86,119.72
2015-12-09,,,,,,,7.91,119.23
2015-12-10,,,,,,,7.77,118.57
2015-12-11,,,,,,,7.65,116.29
2015-12-14,,,,,,,7.68,116.3
2015-12-15,,,,,,,7.81,117.2
2015-12-16,,,,,,,7.97,118.81
2015-12-17,,,,,,,8.0,120.53
2015-12-18,,,,,,,7.9,119.93
2015-12-21,,,,,,,7.94,120.53
2015-12-22,,,,,,,7.9,120.55
2015-12-23,,,,,,,8.04,121.47
2015-12-24,,,,,,,,121.64
2015-12-25,,,,,,,,
2015-12-28,,,,,,,8.04,121.04
2015-12-29,,,,,,,8.11,120.9
2015-12-30,,,,,,,8.09,120.55
2015-12-31,,,,,,,8.02,120.81
2016-01-01,,,,,,,,
2016-01-04,,,,,,,7.88,117.57
2016-01-05,,,,,,,7.88,116.09
2016-01-06,,,,,,,7.79,115.82
2016-01-07,,,,,,,7.67,112.04
2016-01-08,,,,,,,7.66,111.34
2016-01-11,,,,,,,7.52,108.55
2016-01-12,,,,,,,7.55,107.84
2016-01-13,,,,,,,7.56,
2016-01-14,,,,,,,7.29,106.83
2016-01-15,,,,,,,7.18,105.43
2016-01-18,,,,,,,7.12,104.55
2016-01-19,,,,,,,7.19,106.86
2016-01-20,,,,,,,7.0,103.9
2016-01-21,,,,,,,7.0,101.74
2016-01-22,,,,,,,7.32,104.26
2016-01-25,,,,,,,7.26,105.31
2016-01-26,,,,,,,7.26,103.84
2016-01-27,,,,,,,7.35,103.16
2016-01-28,,,,,,,7.36,103.2
2016-01-29,,,,,,,7.45,105.9
2016-02-01,,,,,,,7.47,106.09
2016-02-02,,,,,,,7.41,106.19
2016-02-03,,,,,,,7.44,103.77
2016-02-04,,,,,,,7.52,104.26
2016-02-05,,,,,,,7.5,104.97
2016-02-08,,,,,,,7.25,
2016-02-09,,,,,,,7.31,
2016-02-10,,,,,,,7.33,
2016-02-11,,,,,,,7.24,99.39
2016-02-12,,,,,,,7.14,99.22
2016-02-15,,,,,,,7.34,101.89
2016-02-16,,,,,,,7.35,103.31
2016-02-17,,,,,,,7.52,104.9
2016-02-18,,,,,,,7.61,106.78
2016-02-19,,,,,,,7.52,106.21
2016-02-22,,,,,,,7.65,108.33
2016-02-23,,,,,,,7.63,107.6
2016-02-24,,,,,,,7.44,105.78
2016-02-25,,,,,,,7.62,104.95
2016-02-26,,,,,,,7.7,105.96
2016-02-29,,,,,,,7.68,104.63
2016-03-01,,,,,,,7.73,106.37
2016-03-02,,,,,,,7.74,108.7
2016-03-03,,,,,,,7.78,108.03
2016-03-04,,,,,,,7.85,108.72
2016-03-07,,,,,,,7.83,109.18
2016-03-08,,,,,,,7.8,108.31
2016-03-09,,,,,,,7.81,107.49
2016-03-10,,,,,,,7.88,107.39
2016-03-11,,,,,,,7.89,108.46
2016-03-14,,,,,,,7.92,110.3
2016-03-15,,,,,,,7.84,109.49
2016-03-16,,,,,,,7.86,109.07
2016-03-17,,,,,,,8.04,110.19
2016-03-18,,,,,,,8.1,112.75
2016-03-21,,,,,,,8.02,113.53
2016-03-22,,,,,,,8.07,113.52
2016-03-23,,,,,,,8.02,112.99
2016-03-24,,,,,,,7.93,111.62
2016-03-25,,,,,,,,
2016-03-28,,,,,,,,
2016-03-29,,,,,,,7.96,110.64
2016-03-30,,,,,,,8.21,112.74
2016-03-31,,,,,,,8.16,112.93
2016-04-01,,,,,,,8.03,111.78
2016-04-04,,,,,,,8.1,
2016-04-05,,,,,,,7.92,110.83
2016-04-06,,,,,,,7.86,110.94
2016-04-07,,,,,,,7.88,111.34
2016-04-08,,,,,,,7.96,111.58
2016-04-11,,,,,,,8.0,112.66
2016-04-12,,,,,,,7.95,112.97
2016-04-13,,,,,,,8.05,115.45
2016-04-14,,,,,,,8.08,116.93
2016-04-15,,,,,,,8.07,116.49
2016-04-18,,,,,,,8.05,115.9
2016-04-19,,,,,,,8.22,116.5
2016-04-20,,,,,,,8.17,115.89
2016-04-21,,,,,,,8.18,116.5
2016-04-22,,,,,,,8.2,116.14
2016-04-25,,,,,,,8.15,114.99
2016-04-26,,,,,,,8.18,114.66
2016-04-27,,,,,,,8.24,114.35
2016-04-28,,,,,,,8.21,114.24
2016-04-29,,,,,,,8.23,114.1
2016-05-02,,,,,,,8.23,
2016-05-03,,,,,,,8.14,113.15
2016-05-04,,,,,,,8.08,112.4
2016-05-05,,,,,,,,
2016-05-06,,,,,,,8.06,110.64
2016-05-09,,,,,,,8.05,110.08
2016-05-10,,,,,,,8.05,109.51
2016-05-11,,,,,,,8.1,109.76
2016-05-12,,,,,,,8.1,108.92
2016-05-13,,,,,,,8.03,107.64
2016-05-16,,,,,,,,
2016-05-17,,,,,,,8.07,110.02
2016-05-18,,,,,,,8.02,108.77
2016-05-19,,,,,,,7.93,107.72
2016-05-20,,,,,,,8.03,107.61
2016-05-23,,,,,,,8.05,107.49
2016-05-24,,,,,,,8.12,107.38
2016-05-25,,,,,,,8.22,109.73
2016-05-26,,,,,,,8.24,109.13
2016-05-27,,,,,,,8.24,110.62
2016-05-30,,,,,,,8.25,111.03
2016-05-31,,,,,,,8.27,112.19
2016-06-01,,,,,,,8.21,111.4
2016-06-02,,,,,,,8.25,111.49
2016-06-03,,,,,,,8.33,111.94
2016-06-06,,,,,,,8.37,112.46
2016-06-07,,,,,,,8.43,113.97
2016-06-08,,,,,,,8.42,113.6
2016-06-09,,,,,,,8.35,
2016-06-10,,,,,,,8.19,111.58
2016-06-13,,,,,,,8.05,109.27
2016-06-14,,,,,,,7.96,108.77
2016-06-15,,,,,,,8.02,109.15
2016-06-16,,,,,,,7.87,108.22
2016-06-17,,,,,,,8.06,108.23
2016-06-20,,,,,,,8.26,108.73
2016-06-21,,,,,,,8.18,109.82
2016-06-22,,,,,,,8.28,110.99
2016-06-23,,,,,,,,
2016-06-24,,,,,,,7.89,109.28
2016-06-27,,,,,,,7.6,109.51
2016-06-28,,,,,,,7.73,108.85
2016-06-29,,,,,,,7.93,110.12
2016-06-30,,,,,,,7.99,112.01
2016-07-01,,,,,,,8.14,
2016-07-04,,,,,,,8.08,113.5
2016-07-05,,,,,,,7.98,112.47
2016-07-06,,,,,,,7.86,111.67
2016-07-07,,,,,,,7.97,111.77
2016-07-08,,,,,,,7.97,111.65
2016-07-11,,,,,,,8.11,112.75
2016-07-12,,,,,,,8.19,114.5
2016-07-13,,,,,,,8.2,114.77
2016-07-14,,,,,,,8.26,115.37
2016-07-15,,,,,,,8.22,116.1
2016-07-18,,,,,,,8.22,115.74
2016-07-19,,,,,,,8.2,115.47
2016-07-20,,,,,,,8.22,115.86
2016-07-21,,,,,,,8.27,116.79
2016-07-22,,,,,,,8.28,116.62
2016-07-25,,,,,,,8.26,116.68
2016-07-26,,,,,,,8.3,117.24
2016-07-27,,,,,,,8.34,117.46
2016-07-28,,,,,,,8.37,116.91
2016-07-29,,,,,,,8.35,115.65
2016-08-01,,,,,,,8.37,116.16
2016-08-02,,,,,,,8.39,
2016-08-03,,,,,,,8.34,114.92
2016-08-04,,,,,,,8.38,115.32
2016-08-05,,,,,,,8.4,116.44
2016-08-08,,,,,,,8.46,118.35
2016-08-09,,,,,,,8.49,119.22
2016-08-10,,,,,,,8.42,118.98
2016-08-11,,,,,,,8.47,120.2
2016-08-12,,,,,,,8.52,121.41
2016-08-15,,,,,,,,
2016-08-16,,,,,,,8.55,124.46
2016-08-17,,,,,,,8.46,123.82
2016-08-18,,,,,,,8.64,125.1
2016-08-19,,,,,,,8.6,124.78
2016-08-22,,,,,,,8.64,124.93
2016-08-23,,,,,,,8.71,124.23
2016-08-24,,,,,,,8.69,123.71
2016-08-25,,,,,,,8.65,122.55
2016-08-26,,,,,,,8.67,123.21
2016-08-29,,,,,,,8.6,123.1
2016-08-30,,,,,,,8.63,124.23
2016-08-31,,,,,,,8.58,123.9
2016-09-01,,,,,,,8.59,124.51
2016-09-02,,,,,,,8.69,125.64
2016-09-05,,,,,,,8.72,127.59
2016-09-06,,,,,,,8.75,128.75
2016-09-07,,,,,,,8.81,129.44
2016-09-08,,,,,,,8.75,129.67
2016-09-09,,,,,,,8.64,129.76
2016-09-12,,,,,,,8.49,125.84
2016-09-13,,,,,,,8.51,126.02
2016-09-14,,,,,,,8.48,125.96
2016-09-15,,,,,,,8.46,126.93
2016-09-16,,,,,,,8.44,
2016-09-19,,,,,,,8.53,128.71
2016-09-20,,,,,,,8.54,128.86
2016-09-21,,,,,,,8.57,129.86
2016-09-22,,,,,,,8.75,131.25
2016-09-23,,,,,,,8.66,131.78
2016-09-26,,,,,,,8.59,129.36
2016-09-27,,,,,,,8.58,129.75
2016-09-28,,,,,,,8.66,130.36
2016-09-29,,,,,,,8.72,130.68
2016-09-30,,,,,,,8.64,128.93
2016-10-03,,,,,,,8.65,129.99
2016-10-04,,,,,,,8.66,130.41
2016-10-05,,,,,,,8.64,131.0
2016-10-06,,,,,,,8.65,131.77
2016-10-07,,,,,,,8.58,131.41
2016-10-10,,,,,,,8.59,
2016-10-11,,,,,,,8.49,130.87
2016-10-12,,,,,,,8.41,129.21
2016-10-13,,,,,,,8.35,128.06
2016-10-14,,,,,,,8.52,127.81
2016-10-17,,,,,,,8.46,127.3
2016-10-18,,,,,,,8.53,128.45
2016-10-19,,,,,,,8.54,128.57
2016-10-20,,,,,,,8.58,129.01
2016-10-21,,,,,,,8.5,
2016-10-24,,,,,,,8.54,129.72
2016-10-25,,,,,,,8.48,129.98
2016-10-26,,,,,,,8.4,129.28
2016-10-27,,,,,,,8.35,128.56
2016-10-28,,,,,,,8.34,128.29
2016-10-31,,,,,,,8.35,127.81
2016-11-01,,,,,,,,
2016-11-02,,,,,,,8.28,126.58
2016-11-03,,,,,,,8.22,125.21
2016-11-04,,,,,,,8.19,124.69
2016-11-07,,,,,,,8.28,125.85
2016-11-08,,,,,,,8.28,127.01
2016-11-09,,,,,,,8.11,125.99
2016-11-10,,,,,,,8.08,126.57
2016-11-11,,,,,,,8.05,124.25
2016-11-14,,,,,,,7.98,122.99
2016-11-15,,,,,,,8.03,122.51
2016-11-16,,,,,,,8.02,123.36
2016-11-17,,,,,,,8.03,123.71
2016-11-18,,,,,,,8.0,124.2
2016-11-21,,,,,,,8.01,124.51
2016-11-22,,,,,,,8.03,125.8
2016-11-23,,,,,,,8.01,125.16
2016-11-24,,,,,,,8.08,125.23
2016-11-25,,,,,,,8.11,125.79
2016-11-28,,,,,,,8.09,126.43
2016-11-29,,,,,,,8.05,125.91
2016-11-30,,,,,,,8.12,126.16
2016-12-01,,,,,,,8.11,125.69
2016-12-02,,,,,,,8.09,123.82
2016-12-05,,,,,,,8.13,123.37
2016-12-06,,,,,,,8.1,123.87
2016-12-07,,,,,,,8.16,123.86
2016-12-08,,,,,,,8.15,124.37
2016-12-09,,,,,,,8.15,123.69
2016-12-12,,,,,,,8.18,122.32
2016-12-13,,,,,,,8.22,122.33
2016-12-14,,,,,,,8.19,122.35
2016-12-15,,,,,,,8.05,120.58
2016-12-16,,,,,,,8.12,119.39
2016-12-19,,,,,,,8.13,118.0
2016-12-20,,,,,,,8.12,117.29
2016-12-21,,,,,,,8.14,118.03
2016-12-22,,,,,,,8.14,117.35
2016-12-23,,,,,,,8.12,116.72
2016-12-26,,,,,,,,
2016-12-27,,,,,,,8.15,
2016-12-28,,,,,,,8.15,118.08
2016-12-29,,,,,,,8.15,118.32
2016-12-30,,,,,,,8.21,119.43
2017-01-02,,,,,,,8.25,
2017-01-03,,,,,,100.0,8.19,119.11
2017-01-04,,,,,,100.0,8.24,119.8
2017-01-05,,,,,,100.5,8.29,121.35
2017-01-06,,,,,,100.4,8.3,122.44
2017-01-09,,,,,,102.7,8.28,122.32
2017-01-10,,,,,,104.2,8.3,123.82
2017-01-11,,,,,,104.5,8.29,124.71
2017-01-12,,,,,,103.6,8.37,124.11
2017-01-13,,,,,,104.2,8.36,124.19
2017-01-16,,,,,,106.6,8.34,123.59
2017-01-17,,,,,,105.2,8.35,123.88
2017-01-18,,,,,,104.1,8.33,124.8
2017-01-19,,,,,,103.3,8.3,124.48
2017-01-20,,,,,,103.4,8.31,125.0
2017-01-23,,,,,,102.3,8.32,125.28
2017-01-24,,,,,,102.3,8.38,125.59
2017-01-25,,,,,,101.8,8.5,126.32
2017-01-26,,,,,,102.2,8.48,127.51
2017-01-27,,,,,,102.8,8.47,126.87
2017-01-30,,,,,,102.9,8.38,
2017-01-31,,,,,,103.3,8.41,
2017-02-01,,,,,,103.1,8.49,126.83
2017-02-02,,,,,,102.4,8.48,126.39
2017-02-03,,,,,,103.9,8.49,126.34
2017-02-06,,,,,,104.3,8.47,127.7
2017-02-07,,,,,,104.7,8.45,128.0
2017-02-08,,,,,,103.8,8.45,128.91
2017-02-09,,,,,,103.6,8.49,130.06
2017-02-10,,,,,,104.6,8.47,130.27
2017-02-13,,,,,,105.0,8.54,131.43
2017-02-14,,,,,,105.6,8.54,131.54
2017-02-15,,,,,,106.1,8.52,131.34
2017-02-16,,,,,,106.1,8.57,132.28
2017-02-17,,,,,,106.6,8.53,131.9
2017-02-20,,,,,,106.6,8.58,131.91
2017-02-21,,,,,,106.5,8.6,131.64
2017-02-22,,,,,,106.8,8.58,133.15
2017-02-23,,,,,,106.3,8.67,133.9
2017-02-24,,,,,,105.4,8.61,132.72
2017-02-27,,,,,,106.1,8.62,131.45
2017-02-28,,,,,,106.9,8.65,131.26
2017-03-01,,,,,,107.8,8.67,131.5
2017-03-02,,,,,,109.7,8.67,132.2
2017-03-03,,,,,,109.1,8.63,130.95
2017-03-06,,,,,,109.1,8.61,131.72
2017-03-07,,,,,,109.3,8.6,132.33
2017-03-08,,,,,,109.7,8.63,132.7
2017-03-09,,,,,,109.4,8.61,131.81
2017-03-10,,,,,,110.2,8.65,131.79
2017-03-13,,,,,,110.6,8.66,133.67
2017-03-14,,,,,,111.8,8.65,134.35
2017-03-15,,,,,,111.1,8.66,134.32
2017-03-16,,,,,,112.4,8.79,136.48
2017-03-17,,,,,,111.6,8.77,137.19
2017-03-20,,,,,,112.1,8.81,138.51
2017-03-21,,,,,,112.8,8.8,139.32
2017-03-22,,,,,,110.6,8.7,137.29
2017-03-23,,,,,,110.8,8.77,137.44
2017-03-24,,,,,,111.1,8.8,138.04
2017-03-27,,,,,,111.1,8.75,136.92
2017-03-28,,,,,,111.6,8.85,137.14
2017-03-29,,,,,,113.2,,137.44
2017-03-30,,,,,,113.3,8.89,137.65
2017-03-31,10.0,,,,,112.4,8.88,137.18
2017-04-03,9.98,,,,,112.1,8.87,137.89
2017-04-04,9.89,,,,,113.0,8.84,
2017-04-05,9.88,,,,,113.1,8.85,138.3
2017-04-06,9.83,,,,,111.5,8.83,137.78
2017-04-07,9.88,,,,,112.4,8.83,138.35
2017-04-10,9.85,,,,,112.5,8.84,137.86
2017-04-11,9.84,,,,,112.6,8.88,137.27
2017-04-12,9.84,,,,,112.2,8.88,137.85
2017-04-13,9.69,,,,,111.7,8.87,137.71
2017-04-14,,,,,,,,
2017-04-17,,,,,,,,
2017-04-18,9.76,,,,,111.8,8.85,137.26
2017-04-19,9.77,,,,,109.7,8.9,137.21
2017-04-20,9.82,,,,,110.0,8.92,138.83
2017-04-21,9.89,,,,,110.6,8.92,139.19
2017-04-24,10.0,,,,,112.0,9.17,140.05
2017-04-25,10.0,,,,,112.8,9.24,141.78
2017-04-26,10.07,,,,,113.5,9.29,142.82
2017-04-27,10.03,,,,,112.9,9.26,142.52
2017-04-28,10.18,,,,,112.6,9.28,142.74
2017-05-01,,,,,,,,
2017-05-02,10.22,,,,,114.3,9.29,142.82
2017-05-03,10.23,,,,,113.8,9.36,
2017-05-04,10.19,,,,,113.6,9.37,141.99
2017-05-05,10.24,,,,,113.3,9.49,141.22
2017-05-08,10.35,,,,,114.2,9.46,141.53
2017-05-09,10.35,,,,,113.6,9.46,143.38
2017-05-10,10.43,,,,,113.7,9.46,144.64
2017-05-11,10.49,,,,,115.0,9.43,145.55
2017-05-12,10.42,,,,,115.3,9.44,146.02
2017-05-15,10.55,,,,,115.3,9.49,147.08
2017-05-16,10.66,,,,,116.6,9.53,146.51
2017-05-17,10.63,,,,,117.0,9.43,148.55
2017-05-18,10.28,,,,,114.7,9.36,145.62
2017-05-19,10.36,,,,,116.1,9.51,146.2
2017-05-22,10.44,,,,,116.8,9.58,148.34
2017-05-23,10.6,,,,,117.0,9.62,149.17
2017-05-24,10.6,,,,,116.8,9.59,148.52
2017-05-25,,,,,,117.0,,
2017-05-26,10.73,,,,,118.4,9.61,149.21
2017-05-29,,,,,,,9.6,149.08
2017-05-30,10.73,,,,,118.3,9.59,
2017-05-31,10.77,,,,,119.0,9.57,148.39
2017-06-01,10.74,,,,,119.2,9.62,148.58
2017-06-02,10.88,,,,,120.5,9.66,149.96
2017-06-05,,,,,,121.9,,
2017-06-06,10.93,,,,,121.7,9.66,150.88
2017-06-07,10.94,,,,,121.8,9.69,151.29
2017-06-08,10.94,,,,,121.3,9.62,153.61
2017-06-09,11.03,,,,,123.6,9.67,154.2
2017-06-12,10.63,,,,,122.6,9.61,151.25
2017-06-13,10.64,,,,,122.8,9.66,151.51
2017-06-14,10.73,,,,,123.8,9.71,151.06
2017-06-15,10.64,,,,,124.1,9.53,149.47
2017-06-16,10.66,,,,,123.1,9.57,149.08
2017-06-19,10.67,,,,,124.0,9.64,150.65
2017-06-20,10.79,,,,,126.0,9.6,152.11
2017-06-21,10.69,,,,,126.5,9.58,151.79
2017-06-22,10.81,,,,,127.0,9.6,152.78
2017-06-23,,,,,,126.6,,
2017-06-26,11.0,,,,,127.4,9.71,154.18
2017-06-27,10.89,,,,,126.4,9.63,154.28
2017-06-28,10.65,,,,,123.3,9.66,152.7
2017-06-29,10.82,,,,,123.2,9.66,153.72
2017-06-30,10.63,,,,,121.5,9.7,152.45
2017-07-03,10.59,,,,,121.5,9.74,152.79
2017-07-04,,,,,,120.8,9.68,151.05
2017-07-05,10.46,,,,,121.6,9.66,152.17
2017-07-06,10.55,,,,,121.3,9.6,153.16
2017-07-07,10.43,,,,,119.6,9.61,151.95
2017-07-10,10.56,,,,,120.9,9.66,152.15
2017-07-11,10.65,,,,,119.9,9.68,154.66
2017-07-12,10.77,,,,,121.7,9.83,155.87
2017-07-13,10.94,,,,,122.3,9.89,158.21
2017-07-14,10.9,,,,,122.0,9.96,158.93
2017-07-17,10.99,,,,,121.6,9.99,160.43
2017-07-18,10.97,,,,,122.2,10.03,160.13
2017-07-19,11.05,,,,,123.3,10.07,162.61
2017-07-20,11.12,,,,,123.9,10.08,162.82
2017-07-21,11.11,,,,,124.7,9.96,162.22
2017-07-24,11.09,,,,,124.4,9.97,162.88
2017-07-25,11.17,,,,,125.2,10.0,163.12
2017-07-26,11.16,,,,,124.4,9.97,162.64
2017-07-27,11.2,,,,,124.0,9.97,164.72
2017-07-28,11.03,,,,,123.2,9.93,163.44
2017-07-31,11.04,,,,,124.1,9.95,165.96
2017-08-01,10.93,,,,,122.7,9.93,167.21
2017-08-02,11.0,,,,,123.4,9.91,167.09
2017-08-03,10.88,,,,,124.6,9.89,165.65
2017-08-04,10.89,,,,,125.8,9.91,166.69
2017-08-07,11.03,,,,,127.2,9.93,167.99
2017-08-08,11.12,,,,,127.9,9.94,170.65
2017-08-09,11.07,,,,,127.7,9.84,170.03
2017-08-10,11.08,,,,,128.2,9.77,168.42
2017-08-11,10.77,,,,,125.7,9.71,163.35
2017-08-14,10.9,,,,,127.4,9.79,164.94
2017-08-15,,,,,,128.9,,
2017-08-16,11.0,,,,,129.2,9.81,166.88
2017-08-17,11.09,,,,,129.9,9.78,167.54
2017-08-18,10.87,,,,,128.8,9.7,166.87
2017-08-21,10.87,,,,,129.4,9.72,168.4
2017-08-22,10.85,,,,,130.6,9.74,170.64
2017-08-23,11.04,,,,,131.8,9.76,
2017-08-24,11.07,,,,,132.1,9.75,172.17
2017-08-25,11.08,,,,,132.3,9.8,172.75
2017-08-28,11.06,,,,,,9.82,170.0
2017-08-29,11.01,,,,,132.4,9.76,168.52
2017-08-30,11.09,,,,,132.9,9.79,169.66
2017-08-31,11.24,,,,,133.8,9.84,171.04
2017-09-01,11.34,,,,,134.6,9.92,171.34
2017-09-04,,,,,,134.5,9.94,171.67
2017-09-05,11.37,,,,,134.0,9.95,172.12
2017-09-06,11.28,,,,,133.1,9.96,171.49
2017-09-07,11.26,,,,,132.8,10.01,172.05
2017-09-08,11.35,,,,,132.5,10.04,173.32
2017-09-11,11.32,,,,,132.6,10.13,173.5
2017-09-12,11.47,,,,,133.2,10.14,174.77
2017-09-13,11.5,,,,,133.5,10.12,175.53
2017-09-14,11.49,,,,,134.2,10.09,175.9
2017-09-15,11.48,,,,,130.6,10.14,175.16
2017-09-18,11.54,,,,,130.4,10.18,177.17
2017-09-19,11.6,,,,,131.5,10.15,178.5
2017-09-20,11.58,,,,,130.6,10.2,179.35
2017-09-21,11.51,,,,,133.1,10.17,179.26
2017-09-22,11.48,,,,,132.4,10.19,178.24
2017-09-25,11.5,,,,,132.3,10.18,175.93
2017-09-26,11.23,,,,,131.9,10.15,173.51
2017-09-27,11.2,,,,,131.8,10.13,174.17
2017-09-28,11.42,,,,,131.3,10.17,174.59
2017-09-29,11.47,,,,,131.4,10.22,175.42
2017-10-02,11.58,,,,,132.8,10.22,
2017-10-03,11.66,,,,,134.3,10.25,179.39
2017-10-04,11.71,,,,,134.7,10.29,180.71
2017-10-05,11.75,,,,,136.3,10.3,
2017-10-06,11.8,,,,,137.0,10.24,181.37
2017-10-09,,,,,,136.4,10.26,181.44
2017-10-10,11.85,,,,,135.5,10.31,182.9
2017-10-11,11.87,,,,,136.7,10.35,183.01
2017-10-12,11.93,,,,,137.0,10.37,183.75
2017-10-13,11.93,,,,,136.8,10.41,183.1
2017-10-16,11.92,,,,,136.9,10.36,184.41
2017-10-17,11.91,,,,,,,
2017-10-18,11.89,,,,,,10.29,
2017-10-19,11.91,,,,,137.2,10.26,183.63
2017-10-20,11.86,,,,,137.1,10.32,183.8
2017-10-23,11.93,,,,,136.7,10.33,184.56
2017-10-24,11.88,,,,,136.3,10.29,182.81
2017-10-25,11.9,,,,,137.0,10.29,183.95
2017-10-26,11.78,,,,,135.5,10.32,181.7
2017-10-27,11.91,,,,,137.5,10.31,179.33
2017-10-30,12.03,,,,,137.8,10.35,179.32
2017-10-31,12.08,,,,,,10.39,179.44
2017-11-01,,,,,,138.4,,
2017-11-02,12.13,,,,,138.5,10.39,181.98
2017-11-03,12.05,,,,,140.6,10.28,182.47
2017-11-06,12.16,,,,,141.1,10.32,184.58
2017-11-07,12.19,,,,,141.0,10.29,188.25
2017-11-08,12.07,,,,,141.5,10.29,187.68
2017-11-09,12.09,,,,,141.5,10.09,188.95
2017-11-10,11.94,,,,,140.2,10.05,189.57
2017-11-13,11.96,,,,,140.9,9.94,188.85
2017-11-14,11.99,,,,,140.4,10.0,188.3
2017-11-15,11.95,,,,,138.8,9.94,185.54
2017-11-16,11.89,,,,,139.1,10.01,188.1
2017-11-17,12.07,,,,,140.5,9.98,190.28
2017-11-20,12.23,,,,,140.9,10.02,192.31
2017-11-21,12.28,,,,,142.0,10.04,194.22
2017-11-22,12.49,,,,,143.4,10.05,194.45
2017-11-23,,,,,,142.4,10.02,192.03
2017-11-24,12.47,,,,,142.4,10.08,193.4
2017-11-27,12.55,,,,,142.2,10.07,191.69
2017-11-28,12.34,,,,,142.6,10.12,190.79
2017-11-29,12.38,,,,,142.2,10.19,190.41
2017-11-30,11.95,,,,,139.6,10.2,186.37
2017-12-01,11.99,,,,,140.2,10.12,185.82
2017-12-04,11.87,,,,,140.2,10.11,185.98
2017-12-05,11.62,,,,,138.7,10.04,183.48
2017-12-06,11.66,,,,,138.4,10.01,180.69
2017-12-07,11.71,,,,,139.6,10.06,182.65
2017-12-08,11.83,,,,,138.7,10.09,186.13
2017-12-11,11.82,,,,,140.8,10.13,188.34
2017-12-12,11.96,,,,,140.4,10.12,188.32
2017-12-13,11.89,,,,,140.7,10.12,188.29
2017-12-14,11.92,493.42,,,,140.4,10.15,189.36
2017-12-15,11.87,497.24,,,,140.1,10.13,187.01
